nameGiven,starting_age,ending_age,career_length
Ferdinand Maurice,122,131,9
Henry George,121,130,9
Walter Joseph,129,138,9
Richard Alan,23,32,9
Robert Scot,26,35,9
Larry Kent,25,34,9
William Ross,23,32,9
Charles Henry,123,132,9
John Joseph,120,129,9
Douglas Randall,25,34,9
Michael Howard,23,32,9
Randall Carlito,22,31,9
Theodore Edmund,25,34,9
Julio Franklin,24,33,9
Ervin Ramon,23,32,9
Thomas Victor Nicholas,21,30,9
Joseph Francis,24,33,9
Donnie Lamont,23,32,9
Frederick Philip,25,34,9
Richard John,23,32,9
John Anthony,24,33,9
Melquiades,24,33,9
Oscar Frederick Louis,123,132,9
David,22,31,9
Goodwin George,125,134,9
Lawrence John,126,135,9
Carvel William,123,132,9
David Scott,21,30,9
Gary Douglas,21,30,9
Lee Ravon,121,130,9
John William,23,32,9
George Napoleon,123,132,9
Clyde,25,34,9
Kevin Edmund,25,34,9
Alvis,24,33,9
Gary Lee,22,31,9
Albert Owen,129,138,9
Charles Lawrence,126,135,9
Nicholas Joseph,125,134,9
Frank Hoxie,123,132,9
Christopher John,25,34,9
Preston James Richard,24,33,9
Robert James,22,31,9
Joshua Aaron,24,33,9
Paul Anthony,23,32,9
Absalom Holbrook,121,130,9
Brian O'Neal,22,31,9
Robert Edgar,122,131,9
David Clifford,25,34,9
Patrick Paul,24,33,9
Ralph Stuart,125,134,9
Royce Middlebrook,120,129,9
Ryan Wallace,21,30,9
Edward James,23,32,9
Paul,24,33,9
Eddie Dean,25,34,9
David Floyd,21,30,9
David Thomas,24,33,9
Albert John,24,33,9
Curtis Benton,22,31,9
James Evans,24,33,9
William Henry,23,32,9
Dustin Eli,26,35,9
Thomas Peter,23,32,9
James Luke,22,31,9
William Henry,124,133,9
David Paul,24,33,9
Adam Parrish,24,33,9
Oscar Joseph,122,131,9
Edinson,22,31,9
Jerome O'Terrell,24,33,9
Murray Wesley,24,33,9
Ray Clark,23,32,9
John David,27,36,9
Roy Duane,22,31,9
Frederick John Rodney,20,29,9
Jose Altagracia,25,34,9
Cecil Lee,24,33,9
Sergio Sanchez,22,31,9
Fred Lee,24,33,9
Michael Lewis,24,33,9
James Alexander,23,32,9
Michael Ray,22,31,9
Wayne Lee,22,31,9
John Webber,20,29,9
Jason Matthew,22,31,9
Justin Brooks,22,31,9
David Scott,28,37,9
John,123,132,9
Maynard Faye,21,30,9
Justin Willard,23,32,9
Lafayette Fresco,123,132,9
Joseph William,23,32,9
Freddie Lee,23,32,9
Jimmy Wayne,26,35,9
Christopher James,26,35,9
William Edward,22,31,9
Jeffrey Allen,23,32,9
Rosendo,23,32,9
Hector Epitacio,23,32,9
Andrew Michael,27,36,9
Chad Austin,24,33,9
James Patrick,25,34,9
Rico Joseph,22,31,9
James Benson,119,128,9
Gregory Allen,25,34,9
Craig Andrew,25,34,9
James Leo,20,29,9
Jonathan Roy,21,30,9
James Roberson,127,136,9
Jerome Austin,20,29,9
Dermal Bram,20,29,9
Adrian Demond,23,32,9
Melky,21,30,9
Leon Joseph,124,133,9
Maurice Lennon,121,130,9
David Thomas,25,34,9
Albert Maxwell,126,135,9
James Eugene,30,39,9
Don Alvin,26,35,9
Jeffery Glenn,25,34,9
Micah Andrew,25,34,9
Blaine Thomas,24,33,9
Dennis Ray,23,32,9
Daniel Hugh,27,36,9
William Gordon,23,32,9
Ernest Edward,127,136,9
Robert Barry,24,33,9
James Cyril,18,27,9
David Richard,22,31,9
Kent Dennis,24,33,9
Wade Allen,20,29,9
Joseph Matthew,24,33,9
Timothy P.,22,31,9
Travis Jarred,22,31,9
David,121,130,9
Ronald Mark,21,30,9
Bruce Douglas,23,32,9
Brian Edward,26,35,9
Thomas Winton,21,30,9
Harold Joseph,22,31,9
Pierino Peter,18,27,9
Dann James,24,33,9
Michael Lawrence,25,34,9
Antonio Jose,21,30,9
Luis Antonio,22,31,9
Nathan Hardy,124,133,9
Alfredo,24,33,9
David Carter,23,32,9
John Frederick,124,133,9
James Charles Jacob,122,131,9
Philip Cory,22,31,9
Gerald Lee,23,32,9
Elden LeRoy,123,132,9
Gerald William,20,29,9
Harry,20,29,9
Andrew Neal,25,34,9
Cory Jerome,22,31,9
Richard Louis,29,38,9
Luis Cesar,19,28,9
Luis,21,30,9
Tommie Lee,23,32,9
David Allan,23,32,9
John Bertram,119,128,9
James Justin,25,34,9
Jose Joaquin,24,33,9
Charles David,21,30,9
Bernard Oliver,125,134,9
John Chambers,121,130,9
Martin Glenn,24,33,9
William Joseph,121,130,9
Virgil Jennings,122,131,9
Robert Wilbur,24,33,9
John Alvin,23,32,9
William Presley,129,138,9
Jack Edward,25,34,9
Jeffrey Glen,24,33,9
Kirtley,21,30,9
Timothy Scott,24,33,9
Michael Scott,23,32,9
Joshua David,24,33,9
Eros Bolivar,121,130,9
Paulino,24,33,9
Robert Lee,20,29,9
Joseph Felix,122,131,9
Owen Thomas,123,132,9
Donald Wayne,24,33,9
Mark Steven,24,33,9
Alfonso,24,33,9
Daniel,26,35,9
Rick Lamar,23,32,9
Michael Thomas,23,32,9
Robinson Jose,23,32,9
Nick Lee,24,33,9
Douglas Joseph,24,33,9
Matthew Thomas,21,30,9
Ivan,22,31,9
Gino Nicholas,27,36,9
Charles Vincent,25,34,9
Shin-Soo,23,32,9
Thomas Edgar,23,32,9
Ronny Alexander,22,31,9
Monte Carmelo,24,33,9
William Radhames,22,31,9
Bryan Donald,25,34,9
Ronald Bruce,23,32,9
Terry Lee,28,37,9
Thomas Aloysius,121,130,9
Mark Willard,23,32,9
Horace Meredith,25,34,9
Andrew James,120,129,9
Eugene Anthony,24,33,9
John P.,24,33,9
James William,23,32,9
John Francis,122,131,9
Jimmie Goodwin,22,31,9
Jesus,24,33,9
Adam Anthony,121,130,9
Billy Rolland,25,34,9
Larry Eugene,26,35,9
Edward Nicholas,22,31,9
Jesse Alan,23,32,9
John Stewart,25,34,9
Patrick,23,32,9
Henry,23,32,9
William Angelo,19,28,9
William Gordon,120,129,9
Timothy James,18,27,9
Timothy Michael,24,33,9
Michael Dwayne,21,30,9
Bryshear Bennett,20,29,9
Glenn Earle,23,32,9
Jody Richard,25,34,9
Harry,122,131,9
Richard Fremont,24,33,9
Charles Albert,121,130,9
Paul Dee,122,131,9
Michel Dwain,27,36,9
Steven Michael,25,34,9
Miguel Angel,22,31,9
Richard Anthony,26,35,9
Roy Joseph,125,134,9
James L.,123,132,9
Chad David,24,33,9
Leavitt Leo,23,32,9
John Francis,22,31,9
Charles John,24,33,9
Joseph,22,31,9
George Daniel,31,40,9
Julio Louis,23,32,9
Jacob,23,32,9
Nelson Ramon,25,34,9
Hector Louis,20,29,9
Carlton William,121,130,9
David Mark,26,35,9
Adam Thomas,23,32,9
Leon,23,32,9
Ryan Matthew,24,33,9
Frank Thomas,24,33,9
Louis Baird,122,131,9
Zachary Thomas,22,31,9
Justin Craig,24,33,9
John Oscar,126,135,9
Robert Eugene,23,32,9
Christopher Anthony,25,34,9
Arthur McArthur,125,134,9
Albert E.,127,136,9
Charles Thomas,22,31,9
Thomas J.,24,33,9
Vincent Paul,125,134,9
Patrick Henry,126,135,9
John Robert,22,31,9
Brian Richard,26,35,9
John Augustus,121,130,9
Francis Xavier,23,32,9
Michael Alan,26,35,9
Mark Allan,28,37,9
Claude Raymond,122,131,9
Orlando P.,33,42,9
Francis Xavier,24,33,9
Felix,21,30,9
Frank John,119,128,9
Felix Abraham,19,28,9
Elmer Ralph,124,133,9
Richard Joseph,25,34,9
Richard,20,29,9
Teodoro Valenzuela,28,37,9
Oral Clyde,124,133,9
Aaron Walter,23,32,9
Donald Earl,23,32,9
Paul Chester,25,34,9
James Wear,22,31,9
Edward William,127,136,9
Aaron Keith,23,32,9
Christopher Allen,24,33,9
Fred,125,134,9
Glenn Edward,22,31,9
Guy Alan,23,32,9
Dane Charles,27,36,9
Garth Ray,24,33,9
Ronnie Damien,22,31,9
Roy Lee,23,32,9
Ransom Joseph,24,33,9
Robert Harvey,20,29,9
John Emil,26,35,9
Sigmund,127,136,9
Donald Chris,24,33,9
Daniel Ryan,26,35,9
Ernest Thorwald,26,35,9
Trenidad Aviel,30,39,9
James Phillip,22,31,9
Peter James,23,32,9
Brian Raynold,23,32,9
Brian Lee,23,32,9
Robert Hamilton,125,134,9
John Wilson,124,133,9
Louis Brown,26,35,9
Kelly Andrew,23,32,9
Jerry Michael,25,34,9
John Henry,22,31,9
Roy Cleveland,126,135,9
Wallace Darnell,25,34,9
John William,122,131,9
Jacque Dewayne,24,33,9
Robert Joseph,23,32,9
Christopher Carlos,26,35,9
Randall Leo,23,32,9
Timothy Joseph,122,131,9
Walter Franklin,124,133,9
Alexis William,122,131,9
Scott Andrew,27,36,9
Raymond Keith,25,34,9
Wade,122,131,9
Gerald Donald,21,30,9
Matthew Lon,22,31,9
Jeffrey Scott,24,33,9
Logan French,22,31,9
Junior Raymond,24,33,9
Leo Patrick,22,31,9
Edward Michael,25,34,9
Howard Victor,119,128,9
Thomas Henry,20,29,9
Russell Paul,24,33,9
Joseph Charles,25,34,9
Robert Harold,130,139,9
Ronald Dale,24,33,9
William Hart,122,131,9
John Martin,25,34,9
Theodore Rodger,25,34,9
Marc Jason,22,31,9
Howard Wilbur,121,130,9
Joseph Victor Lawrence,122,131,9
Remy Peter,131,140,9
Calvin Lee,22,31,9
Gary Alan,20,29,9
Casey John,21,30,9
Andrew John,24,33,9
Frank Joseph,24,33,9
William J.,25,34,9
Donald Leroy,21,30,9
Richard Max,24,33,9
Frederick,126,135,9
George Warren,23,32,9
Henry E.,24,33,9
Harold Clifton,22,31,9
Geremis Segundo,22,31,9
Fredrick Ernest,19,28,9
John Gary,23,32,9
John Day,23,32,9
Esteban,24,33,9
Gustave,120,129,9
Jerry Dean,24,33,9
John Wesley,122,131,9
Brian Jeffrey,21,30,9
Tobias Charles,26,35,9
Arthur Carle,125,134,9
Thomas Alan,22,31,9
Nicholas Anthony,26,35,9
Mark Andrew,21,30,9
Samuel David,127,136,9
James W.,22,31,9
Joseph Milton,23,32,9
Alexander Peter,28,37,9
Julio Enrique,21,30,9
Joseph LaVerne,124,133,9
Marvin Mardo,125,134,9
Ival Richard,127,136,9
Thomas Stephen,23,32,9
Tom Edward,21,30,9
Kenneth Lee,22,31,9
Johns Joseph,24,33,9
Kelly Wayne,22,31,9
Orval Leroy,121,130,9
Robert,125,134,9
Joseph Brook,21,30,9
Christopher Karlton,23,32,9
Jose Alberto,22,31,9
Freddy Antonio,23,32,9
Juan Andres,25,34,9
Reginald Allen,22,31,9
Charles A.,23,32,9
Jimmy Wayne,23,32,9
Melton Andrew,22,31,9
Bradley Bonte,25,34,9
James John,22,31,9
William Albert,20,29,9
James Jerry,23,32,9
Carroll William,25,34,9
Brendan Michael,24,33,9
David Stanley,125,134,9
Michael Anthony,22,31,9
Robert Green,122,131,9
Prince Semien,21,30,9
George Aloys,124,133,9
Michael Roy,23,32,9
Alan James,23,32,9
Peter,22,31,9
Brian Thomas,21,30,9
John Edward,25,34,9
Michael Otis,24,33,9
Scott Wynne,22,31,9
Robert Charles John,24,33,9
Felix Jose,24,33,9
Nicholas Raymond Thomas,125,134,9
Dana James,22,31,9
Roy,123,132,9
Joseph J.,21,30,9
Edwin Elpidio,22,31,9
Jon Lewis,27,36,9
Barry Clifton,21,30,9
William Brown,20,29,9
Brook Alexander,25,34,9
Alan Benton,21,30,9
William Patrick,22,31,9
Terry Jon,22,31,9
Jeffrey Braden,21,30,9
Roger Vernon,24,33,9
George Allen,24,33,9
Jeffrey Dustin,26,35,9
Todd Gerard,25,34,9
Arthur Henry,123,132,9
Daniel Vincent,21,30,9
Carlos Jesus,23,32,9
Clarence Edward,123,132,9
Arnold,122,131,9
Eric Serge,23,32,9
Scott William,21,30,9
Ronald Wayne,22,31,9
Michael Douglas,20,29,9
Franklin Washington,20,29,9
William Frederick,27,36,9
Gustavo Karim,20,29,9
Alfonso Rafael,23,32,9
Alexander Nathaniel,127,136,9
James Edward,23,32,9
Joseph Edward,125,133,8
Matthew Scott,23,31,8
Marcus Wayne,23,31,8
Richard Frank,21,29,8
Gil Gonzalo,23,31,8
Frank Edward,121,129,8
William Benjamin,21,29,8
Charles Philip,127,135,8
Melvin Allys,121,129,8
David Thomas,27,35,8
George Walter,27,35,8
Jesus Maria,25,33,8
Ryan Paul,25,33,8
Kevin Vincent,24,32,8
Matthew Neil,26,34,8
Victor Patrick,127,135,8
Kevin Christopher,24,32,8
Casey Paul,23,31,8
George Bennerd,23,31,8
Andrew Junipero,25,33,8
Joshua Smith,25,33,8
Randy Alan,27,35,8
Joseph William,119,127,8
Ralph David,25,33,8
Morgan Paul,25,33,8
Randy Lee,21,29,8
Charles Willard,124,132,8
Henry Hack,119,127,8
Richard Joseph,124,132,8
Howard Rodney,26,34,8
Andre Everett,24,32,8
John,20,28,8
Jorge,24,32,8
Robert M.,22,30,8
Charles H.,23,31,8
Michael Peter,23,31,8
Eric George Adolph,122,130,8
Alfred John,24,32,8
Louis Henry William,130,138,8
Albert Samuel,127,135,8
Ryan Robert,21,29,8
William Alvan,22,30,8
George Decatur,123,131,8
William Peter,24,32,8
William Charles,26,34,8
Kenneth Smith,22,30,8
James Richard,22,30,8
John Joseph,26,34,8
John J.,21,29,8
Bradley David,22,30,8
Fred James,25,33,8
Shigetoshi,29,37,8
Victor Lanier,22,30,8
William Jennings Bryan,123,131,8
Bryan Stanley,24,32,8
Paul Franklin,23,31,8
Anthony Keith,24,32,8
Emil Karl,123,131,8
Franklin Rafael,22,30,8
Addison Courtney,21,29,8
Bradley Lee,22,30,8
Donald Edward,19,27,8
Cecilio,22,30,8
Wilton,22,30,8
David Edward,25,33,8
Robert Wade,26,34,8
Jason Aaron,24,32,8
Toby Jason,25,33,8
Colbert Michael,23,31,8
Walter William,25,33,8
John Thadeuz,26,34,8
Jack Price,126,134,8
Albert,23,31,8
Robert Earl,122,130,8
John William,25,33,8
George Addison,120,128,8
Wayne Allan,24,32,8
William Fitter,25,33,8
Ira Thomas,22,30,8
Willie Louis,21,29,8
Benjamin,21,29,8
William Tolan,19,27,8
Thurman Clyde,25,33,8
Robert Anton,24,32,8
Oscar Ray,123,131,8
Frank Patrick,119,127,8
Carden Edison,123,131,8
William Oliver,125,133,8
Paul Marshall,28,36,8
Charles H.,20,28,8
Henry Homer,123,131,8
Benjamin Raymond,124,132,8
Joseph Charles,124,132,8
Douglas Metunwa,26,34,8
Matthew Shane,23,31,8
John Walker,124,132,8
Michael Thomas,25,33,8
Alfred Allen,26,34,8
Frederick Walter,22,30,8
Timothy Jon,23,31,8
Thomas James,26,34,8
Rudy Karl,22,30,8
Charles William,24,32,8
Terry Lee,26,34,8
Richard Anthony,26,34,8
Jeffrey William,22,30,8
George John,123,131,8
Emil Benedict,125,133,8
Arthur William,25,33,8
Ralph Pierre,20,28,8
Michael Russell,22,30,8
Cordel Leonard,25,33,8
Kevin,25,33,8
Brad Lynn,22,30,8
John Francis,24,32,8
Arthur Theodore,126,134,8
Anthony Christopher,22,30,8
Elmer Ellsworth,124,132,8
John Wesley,120,128,8
Robert Frank,26,34,8
Mark Richard,25,33,8
Daniel Lee,24,32,8
James,28,36,8
Judson Fabian,122,130,8
Willie Charles,24,32,8
Ian Michael,24,32,8
Edward Lloyd,123,131,8
Howard Joseph,23,31,8
Patrick Franklin,24,32,8
William Henry,122,130,8
Benjamin Michael,122,130,8
Robert Henry,23,31,8
Matthew Ryan,22,30,8
Byung-Hyun,20,28,8
Michael Brooks,24,32,8
Jorge Dandys,22,30,8
Jeffrey Daniel,20,28,8
Jeffrey Patrick,25,33,8
Adrian,122,130,8
William Michael,23,31,8
Claude Alfred,124,132,8
Thomas,128,136,8
Paul Scott,23,31,8
James Dalton,21,29,8
Adam La Marque,21,29,8
Robert Walter,128,136,8
William Russell,24,32,8
James Robert,23,31,8
Lamar,24,32,8
Joshua Michael,21,29,8
Cecil Carlton,125,133,8
Mark Lawrence,25,33,8
Robert William,27,35,8
Bernard Herman,126,134,8
John William,123,131,8
Terryal Gene,22,30,8
Stephen Michael,22,30,8
Samuel Lee,24,32,8
David Wayne,24,32,8
Robert Dale,26,34,8
William F.,-77,-69,8
Clair Barth,19,27,8
Ubaldo,22,30,8
Cesar Enrique,22,30,8
D'Angelo,22,30,8
Jason Ryan,23,31,8
Forrest Docenus,124,132,8
Jesse Harrison,24,32,8
Reginald Jirod,23,31,8
Robert Casey,25,33,8
William Henry,124,132,8
Christopher Domenic,23,31,8
Vincent Edward,24,32,8
Travis Takashi,23,31,8
Daniel John,123,131,8
Carter Bradley,122,130,8
Frederick William,20,28,8
Damon Jamall,24,32,8
Kenneth Eugene,125,133,8
Roscoe Albert,123,131,8
William James,21,29,8
James William,24,32,8
Richard Jose,22,30,8
Jack E.,22,30,8
Philip Farrell,24,32,8
Shawn Richard,23,31,8
Richard Michael,24,32,8
Urban John,120,128,8
Jacinto,25,33,8
John Park,121,129,8
Sean Michael,24,32,8
Ronald Samuel,25,33,8
George,130,138,8
Henry Hartz,125,133,8
Jack Seale,20,28,8
Aaron Michael,25,33,8
Guy Jackson,26,34,8
John David,23,31,8
Brendan Kevin,31,39,8
Benito James,22,30,8
Arthur John,25,33,8
Mario Rafael,25,33,8
Stephen Oris,23,31,8
Robert John,24,32,8
Daniel Edward,22,30,8
Charles Walter,131,139,8
Cedric Montgomery,126,134,8
Edwin,123,131,8
Charles M.,22,30,8
Thomas Patrick,26,34,8
George Livingston,128,136,8
Deivi,25,33,8
James Everette,23,31,8
Herbert Bryan,126,134,8
Thomas Daniel,122,130,8
Jeffrey Charles,21,29,8
Bennie,25,33,8
Peter J.,26,34,8
Milton,22,30,8
Norman Andrew,126,134,8
George Raymond,23,31,8
William Pinkney,121,129,8
Wilson,24,32,8
Luis Antonio,23,31,8
Conrad,22,30,8
Douglas Craig,24,32,8
Alvin Glenn,24,32,8
Robert John Eugene,21,29,8
Frank Gerald,24,32,8
Jeffrey Graham,26,34,8
Rajai Lavae,26,34,8
Archie Ray,24,32,8
Daniel Bernard,21,29,8
Ronald Bryan,29,37,8
Allen Lindsey,123,131,8
John Daniel,126,134,8
Peter Joseph,125,133,8
Victor Crosby,26,34,8
Martin Kevin,26,34,8
Samuel Byrem,120,128,8
Roman Benedicto,25,33,8
Christopher Allen,24,32,8
Gordon Calvin,25,33,8
Truman Eugene,22,30,8
Otis Edgar,129,137,8
Douglas Horace,21,29,8
Matthew Paul,24,32,8
Verne James,125,133,8
Brady William,27,35,8
William Holland,23,31,8
Robert Ernie,22,30,8
David Lee,23,31,8
James Bailey,123,131,8
Laurence Russell,125,133,8
Raymond Johnson,121,129,8
Alexander,23,31,8
Galen Bernard,25,33,8
Martin Francis,122,130,8
Alberto Jose,23,31,8
Cris Howell,23,31,8
Roberto,26,34,8
Thomas Joseph,25,33,8
James Otto,126,134,8
Kevin Forrest,25,33,8
Lawrence Paul,25,33,8
Alexi,22,30,8
Charles Douglas,25,33,8
Walter Lawrence,123,131,8
Tyrus Turner,122,130,8
Christopher Michael,25,33,8
George Irvin,28,36,8
Eugene Walter,28,36,8
Edward Enoch,19,27,8
John Mark,23,31,8
John William,124,132,8
Charles Edwin,21,29,8
Clyde Lee,125,133,8
Todd Eric,24,32,8
Joseph Louis,125,133,8
Alan Paul,23,31,8
Harry Parker,128,136,8
Marvin Larry,24,32,8
Lester Rowland,122,130,8
Eric Alvin,22,30,8
Robert,26,34,8
William Daro,23,31,8
Lawrence Donald,22,30,8
John Andrew,123,131,8
James Louis,24,32,8
Julio,24,32,8
Juan Carlos,25,33,8
Elvin Clark,124,132,8
Kurt Thomas,24,32,8
Willie Mays,23,31,8
Matthew James,23,31,8
Jose Lino,25,33,8
George Lee,26,34,8
Roy Maxwell,24,32,8
William Crawford,22,30,8
Carlos Manuel,24,32,8
Matthew,26,34,8
Luis Enrique,28,36,8
Thomas Steven,22,30,8
Erick Johan,22,30,8
Manuel Antonio,25,33,8
Yancey Wyatt,122,130,8
Edmundo,22,30,8
Robert Lazaro,21,29,8
Michael Allen,20,28,8
Scott Richard,25,33,8
Frederick Norman,124,132,8
Frederick Hotham,26,34,8
Eric Todd,22,30,8
Joaquin,22,30,8
George Albert,124,132,8
Daniel Wayne,26,34,8
Joseph Leo,122,130,8
Yuniesky,23,31,8
Angel Maria,23,31,8
Timothy Paul,27,35,8
John Joseph,121,129,8
Walter Allen,124,132,8
Larvell,22,30,8
Theodore,121,129,8
Darrell Elijah,126,134,8
Hank Joe,22,30,8
Michael Ray,24,32,8
Shawn Kealoha,23,31,8
Stephen,21,29,8
Glenn Dennis,22,30,8
Richard Albert,21,29,8
Ronald George,23,31,8
Robert Randall,123,131,8
Scott William,24,32,8
Damon Jackson,23,31,8
Ronald Raymond,20,28,8
Stephen Robert,21,29,8
Wallace Edward,18,26,8
Thomas Roland,27,35,8
John Henderson,123,131,8
Salvatore Philip,28,36,8
Steven Lee,23,31,8
William Edwin,125,133,8
Peter Willits,25,33,8
William Franklin,22,30,8
Charles Edward,124,132,8
Richard Ernest,22,30,8
Edward William,129,137,8
Lewis J.,18,26,8
Robert James,26,34,8
Warren Scott,25,33,8
Brian Anthony,22,30,8
Anthony Michael,24,32,8
Lynn Davis,124,132,8
Robert Earl,27,35,8
Addison Foster,123,131,8
Charles F.,22,30,8
John Anthony,22,30,8
James Robert,27,35,8
Joshua Eric,24,32,8
Matthew Aaron,28,36,8
William Franklin,19,27,8
Hugh Jeffery,24,32,8
Thomas Michael,23,31,8
Frank Day,126,134,8
James Anthony,125,133,8
John Robert,25,33,8
Eugene Earl,122,130,8
Richard Charles,25,33,8
Marvin Eugene,22,30,8
Herbert Ehler,121,129,8
Randolph Ruhland,24,32,8
Carlos Manuel,23,31,8
Arthur Patrick,120,128,8
Jose Enger,26,34,8
Ramon Luis,25,33,8
James Riley,134,142,8
Thomas Derrick,22,30,8
Troy Trever,22,30,8
Jason Renyt,23,31,8
Lawrence Grant,22,30,8
Daniel Cooley,26,34,8
Efrain Antonio,24,32,8
Wilson Antonio,26,34,8
John Ralph,122,130,8
Peter Thomas,25,33,8
Bennie Louis,127,135,8
John,121,129,8
Chien-Ming,25,33,8
Joseph David,25,33,8
Mark Duane,22,30,8
Charles Thomas,126,134,8
Charles C.,22,30,8
Michael Charles,22,30,8
Tyler Lanier,26,34,8
Gregory Lee,23,31,8
Charles Franklin,123,131,8
Donald Ralph,25,33,8
Ernest Daniel,124,132,8
Fred Dwight,24,32,8
Frank Tiguer,122,130,8
Carl Woolworth,123,131,8
Robert Lee,28,36,8
Jered David,24,32,8
Montie Morton,125,133,8
William Earl,128,136,8
George Daniel,122,130,8
George,27,35,8
Benjamin Thomas,25,33,8
Dominick Thomas,26,34,8
Norbert Henry,22,30,8
Rollie Hubert,127,135,8
George Edward,19,27,8
William Frederick,120,128,8
Dontrelle Wayne,21,29,8
John Thomas,121,129,8
Herman Son,23,31,8
Matthew John,25,33,8
Brian Patrick,24,32,8
John Owen,125,133,8
Donald Edward,21,29,8
Enrique,24,32,8
John Francis,122,130,8
William G.,23,31,8
Frank Lee,25,33,8
Scott Ryan,23,31,8
Kevin Joseph,22,30,8
Craig Richard,23,31,8
William Frederick,21,29,8
Charles Thomas,123,131,8
Christopher Brandon,23,31,8
Delmon Damarcus,21,29,8
Russell Guy,127,135,8
John,26,34,8
Kenneth Victor,23,31,8
Johnny Renando,22,30,8
Carlos Joaquin,27,35,8
Glen David,124,132,8
Donald Raymond,124,132,8
Mark Joseph,28,36,8
John Albert,120,128,8
James John,26,34,8
Anibal Alejandro,22,30,8
Raul Guadalupe,22,30,8
William Amos,23,31,8
Oscar Enrique,24,32,8
Ruthford Eduardo,24,32,8
Michael George,27,35,8
Christopher Andrew,26,34,8
Victor Sylvester,120,128,8
John Collins,124,132,8
Mark Dwayne,22,30,8
Michael Sean,25,33,8
Jose Rafael,23,31,8
Mack Daniel,25,33,8
Dane Kealoha,24,32,8
Charles Duane,20,28,8
Robert Paul,18,26,8
William Dennis,122,130,8
Harry Leon,26,34,8
Joe Allen,24,32,8
Tommie Wayne,20,28,8
Francis Michael,125,133,8
Kelly Brian,25,33,8
William David,124,132,8
Ernest Grady,121,129,8
Carlos,23,31,8
George Friederich,27,35,8
James Anthony,25,33,8
Thomas Patrick,123,131,8
Arthur Joseph,120,128,8
James Aloysius,120,128,8
Thomas Michael,23,31,8
Alfred Louis,128,136,8
Albert Simpson,126,134,8
Michael Tyrone,26,34,8
William Charles,125,133,8
George Alexander,126,134,8
Robert Michael,23,31,8
Rodney Grant,24,32,8
John Emmett,23,31,8
Luke Brandon,27,35,8
Donald Malcolm,22,30,8
James,121,129,8
Jorge Bolivar,24,32,8
Timothy Joseph,25,33,8
Leslie Charles,21,29,8
Edward Wayne,23,31,8
George Tweedy,23,31,8
Edward Nelson,23,31,8
Leroy Bobby,24,32,8
Christopher David,24,32,8
Edward F.,21,29,8
Emanuel Sebastian,22,30,8
James Cory,24,32,8
James Carlisle,121,129,8
Travis William,26,34,8
Willie,24,32,8
Frederick Charles,121,129,8
Jason William,24,32,8
James Lawrence,119,127,8
Louis Mortimer,24,32,8
John Thomas,123,131,8
Joel Patrick,22,30,8
Bobby Gene,23,31,8
Elmer Ellsworth,22,30,8
Harry Joseph,126,134,8
Robert Harwood,121,129,8
Eric William,27,35,8
Haywood Cooper,25,33,8
George Heard,21,29,8
Wesley Gay,25,33,8
Alan Cochrane,128,136,8
Nicholas,125,133,8
Elvin Walter,27,35,8
Jose Milages,24,32,8
John Adam,124,132,8
Luther Haden,125,133,8
Steven Eugene,23,31,8
Ryan Joseph,21,29,8
Ronald Alan,21,29,8
George E.,26,34,8
John Besson,18,26,8
Frank Ronald,20,28,8
Robert Thomas,23,31,8
Fay Wesley,124,132,8
Gary Leah,21,29,8
Peter,22,30,8
Robert Alexis,23,31,8
Willard Eben,20,28,8
Leo Christopher,122,130,8
Ryan Michael,23,31,8
Carlos Agustin,24,32,8
Nicholas William,23,31,8
John Wyeth,121,129,8
Shaun Michal,24,32,8
Sean Christopher,24,32,8
Carmelo,23,31,8
Hershel Ray,128,136,8
Russell Nathan Coltrane,23,31,8
Nicholas Allen,24,32,8
Walter Thomas,124,132,8
Charles E.,22,30,8
James Percy,21,29,8
Terry Alan,27,35,8
Walter A.,121,129,8
James Albert,120,128,8
Richard Bernard,24,32,8
Adam Alan,23,31,8
James William,24,32,8
Jose,23,31,8
Glenn Ignatius,120,128,8
Kerry Dale,26,34,8
Jonathan Tyler,22,30,8
Frank John,18,26,8
Patrick Orlando,23,31,8
Ronald,26,34,8
Travis Reynolds,23,31,8
Wilfredo Jose,22,30,8
Andrew Jason,22,30,8
Bristol Robotham,122,130,8
Harry Donald,125,133,8
Jose Celestino,21,29,8
James Anthony,22,30,8
Dario Antonio,122,130,8
George Paul,23,31,8
Boone,22,30,8
Stephen John,25,33,8
Hector R.,24,32,8
Ulysses John,123,131,8
Hugh Max,123,131,8
Mark Christopher,23,31,8
John Reid,126,134,8
Jimmie LeRoy,23,31,8
Joseph Earl,26,34,8
James Milton,22,30,8
Larry Benard,22,30,8
Steven Earl,23,31,8
George Lewis,125,133,8
John James,123,131,8
Rudolph Bartholomew,20,28,8
Louis William,27,35,8
William Henry,21,29,8
Mario,24,32,8
Orlando,21,29,8
Adam Michael,28,36,8
Kevin Ford,24,32,8
John Tortes,129,137,8
Christian Matthew,27,35,8
Matthew Brian,23,31,8
Calvin Alexander,22,30,8
Patrick James,25,33,8
John Joseph,22,30,8
Thomas,23,31,8
Patrick Elmer,127,135,8
William Edward,25,33,8
Wycliffe Nathaniel,30,38,8
John Wallace,25,33,8
Mark Alan,23,31,8
Roberto,25,33,8
Edward Jose,22,30,8
William John,124,132,8
Eugene John,21,29,8
