birthdate,players
1984-12-14,Chris J.
1984-12-15,"James Robert, Robert Cole"
1984-12-17,Stuart Michael
1984-12-18,Joshua Joel
1984-12-19,Ian Patrick
1984-12-23,Joshua Blake
1984-12-26,"Brett Allen, Darin Burton"
1984-12-28,Gary Barret
1985-01-04,Scott Daniel
1985-01-07,Jose Luis
1985-01-08,Matthew Vincent
1985-01-10,Samuel
1985-01-12,David Christopher
1985-01-16,Jeffrey Michael
1985-01-17,"Chad Lee, Emmanuel Allen, Randall Jai"
1985-01-20,"Fabio Enrique, Luis Manuel"
1985-01-22,Scott Michael
1985-01-23,Jeffrey Alan
1985-01-24,"John James, Niuman Jose"
1985-01-25,Shane Anthony
1985-01-28,Dequam LaWesley
1985-02-01,"Colin Benedict, Elian"
1985-02-02,Scott
1985-02-05,Eric George
1985-02-08,Felix
1985-02-12,Cole William
1985-02-13,Logan Jared
1985-02-14,Tyler Lee
1985-02-15,Russell Lance
1985-02-16,Clinton Michael
1985-02-19,Daniel Anthony
1985-02-20,"Ryan Joseph, Vincent William"
1985-02-25,Xavier Brooks
1985-03-02,"David Stefan, Richard Brandon"
1985-03-04,"Cory Robert, Michael Charles"
1985-03-05,Bradley Aaron
1985-03-09,"Brian William, Jesse Allen"
1985-03-12,Phillip DeWayne
1985-03-14,Steven Douglas
1985-03-15,Jonathan Henry
1985-03-17,Cesar Miguel
1985-03-20,Jonathan William
1985-03-22,Justin Daniel
1985-03-28,Mark D.
1985-03-30,Daniel Joseph
1985-04-01,Daniel Thomas
1985-04-03,"Luis M., Michael Melton"
1985-04-05,"Ian Kenneth, Lastings Darnell"
1985-04-08,"Juan de Dios, Matthew Antonio"
1985-04-09,David Alan
1985-04-10,"Clayton Grant, Jonathan"
1985-04-12,Brennan Philip
1985-04-15,"Aaron Steven, John William"
1985-04-23,Emilio Jose
1985-04-24,Ryan Allen
1985-04-26,Sean John
1985-04-28,John David
1985-04-29,Chad Daniel
1985-05-02,"Jarrod Scott, Jose Eleazar"
1985-05-03,Nathaniel Joseph
1985-05-10,Luis A.
1985-05-13,David Jose
1985-05-15,Jim Charles
1985-05-17,Todd Richard
1985-05-18,Andrew James Rudolph
1985-05-21,Andrew Mark
1985-05-22,Henricus Nicolas
1985-05-23,"Matthew Hagerty, Michael Glen"
1985-05-25,"Brad Eric, Eric Orlando"
1985-05-26,"Kevin John, Lance Frederick"
1985-05-30,"Anthony Michael, Noel Fernando"
1985-06-03,Lucas William Bradley
1985-06-06,Trystan Stewart Gwyn
1985-06-12,George Nicholas
1985-06-13,Pedro Angel
1985-06-15,Michael Bruce
1985-06-18,Christopher B.
1985-06-19,Richard Blake
1985-06-20,Brooks Steven
1985-06-25,Daniel Paul
1985-06-27,Steven Bradley
1985-06-28,Joshua Colt
1985-07-01,Christopher Ralph
1985-07-03,Gregory Adam
1985-07-04,William Jared
1985-07-07,Leyson
1985-07-15,Darrell David
1985-07-18,Ramiro Gauna
1985-07-19,"Ernesto, Evan Lee"
1985-07-21,"Robert Davis, Wei-Yin"
1985-07-22,Denis
1985-07-25,Alexander Crawford
1985-07-26,Mathew Lawrence
1985-07-28,Henry
1985-07-30,Dylan Davis Haines
1985-08-01,"Adam La Marque, Cole A."
1985-08-05,Travis Norton
1985-08-08,"Blake Daniel, Deunte Raymon"
1985-08-12,"Jhonatan, Zachary Warren"
1985-08-13,Timothy Scott
1985-08-14,"Christopher Andrew, Esmil Antonio"
1985-08-16,Daric William
1985-08-19,Joshua David
1985-08-20,"Blake Robert, Matthew Donald"
1985-08-22,"Ryan Robert, Sandy"
1985-08-24,"Anthony Yoel, Christian J."
1985-08-26,"Darin Paul, David Taylor, Eric Joseph"
1985-08-29,Marc Walter
1985-09-03,"Christopher Lars, Troy Jamieson"
1985-09-04,Kenneth David
1985-09-05,Tyler Eugene
1985-09-06,Mitchell Austin
1985-09-07,Wade Allen
1985-09-10,"Anthony Ray, Matthew Ryan, Neil Martin"
1985-09-11,Robert Alan
1985-09-13,Lucas Stephen
1985-09-14,"Brandon Ryan, Delmon Damarcus"
1985-09-16,Matthew Reid
1985-09-17,"Brian James, Eric William, Gregory Joseph"
1985-09-19,Giovany Aramis
1985-09-20,"Ian M., Kevin Robert"
1985-09-21,Antonio Francisco
1985-09-23,Justin Louis
1985-09-25,"Bradley Steven, Patrick Bowen"
1985-09-27,Pedro
1985-09-30,"Daniel Roger, Daniel Weston, James Robert"
1985-10-01,"Darren Scott, Jeremy Michael, Mitchell Shane"
1985-10-06,Andrew
1985-10-07,"Evan Michael, Kristopher Allen"
1985-10-08,Cody Allen
1985-10-16,Enerio
1985-10-17,"Carlos Eduardo, Jose"
1985-10-18,Yoenis
1985-10-23,Samuel Vincent
1985-10-25,Wilkin Emilio
1985-10-27,Steven Kyle
1985-10-31,"Andrew B., Luis Javier"
1985-11-02,Daryl Marcelus
1985-11-04,Joseph Cain
1985-11-08,Darwin James Kunane
1985-11-13,Asdrubal Jose
1985-11-15,Duane Arthur
1985-11-18,Bruce
1985-11-19,Bradley Christopher
1985-11-20,"Charles Joseph, Gregory Scott"
1985-11-22,Adam Robert
1985-11-23,Pedro Jose
1985-11-26,"Corey Allen, Jhonny J., Matthew Martin"
1985-11-30,Luis Adan
1985-12-01,Eddy
1985-12-04,"Andrew Warren, Carlos Argelis"
1985-12-08,"Joshua Adam, Robert D."
1985-12-17,Fernando Antonio
1985-12-19,Michael D.
1985-12-21,"Brian Patrick, Matthew Steven"
1985-12-22,Daniel Adam
1985-12-24,Andrew James
1985-12-26,Christopher John
1985-12-30,Sean Patrick
1985-12-31,Evan David
1986-01-01,Nicholas Michael
1986-01-05,Jonathan Paul
1986-01-08,James Clayton
1986-01-16,"Mark Daniel, Reid Michael"
1986-01-20,David Dennis
1986-01-24,"Andrew Lee, Cole Tyler, Franklin Miguel"
1986-01-27,Yohan Carlos
1986-01-28,"Brandon Eric, Nathan Andrew"
1986-01-29,Jair Francoise
1986-01-30,"Jordan Patrick, Mark Elliot, Nicholas R."
1986-02-01,"Justin Ryan, Kristopher David"
1986-02-03,Lucas Christopher
1986-02-04,Jordan L.
1986-02-05,Ryan Christopher
1986-02-06,Kanekoa Jacob
1986-02-07,Joshua Michael
1986-02-09,Josh Steven
1986-02-10,Matthew Scott
1986-02-12,"Brandon Durell, Todd B."
1986-02-15,"Fautino, Johnny"
1986-02-19,Michael Fredarick
1986-02-20,Julio Alberto
1986-02-25,Erik Michael
1986-02-27,"James R., Yovani"
1986-03-03,Eric Michael-Jay
1986-03-06,"Francisco, Jacob Joseph, Ross Emery"
1986-03-11,Jeremy Scott
1986-03-12,Joseph Frank
1986-03-16,Mickey Charles
1986-03-17,Christopher Lyn
1986-03-21,Carlos
1986-03-22,William Dexter
1986-03-27,Johnny
1986-03-28,"Bradley Mark, Stephen James"
1986-03-30,Barry Ryan
1986-04-04,Harold Louis
1986-04-05,Steven Scott
1986-04-07,Chia-Jen
1986-04-08,"Carlos, Edward Cory, Felix Abraham"
1986-04-09,Bryan Evan
1986-04-10,Corey Scott
1986-04-11,"Charles Roderick, Russell Michael"
1986-04-12,Brad
1986-04-13,Lorenzo Lamar
1986-04-14,Cory Nathanial
1986-04-18,Billy Ray
1986-04-20,"Donovan Jay, Jesse Ray"
1986-04-23,Luis A.
1986-04-24,Aaron R.
1986-04-28,"Daniel Ross, Dillon Kyle"
1986-05-03,David Dewitt
1986-05-06,Matthew August
1986-05-09,Daniel Robert
1986-05-10,"Luke Webber, Matthew P."
1986-05-13,John Daniel
1986-05-14,"Efren, Jackson Thomas"
1986-05-15,Brandon Michael
1986-05-19,Joseph Michael
1986-05-21,Matthew Richard
1986-05-22,"Collin Brannen, Eric Sidney"
1986-05-23,Jordan M.
1986-05-30,Anthony Edward
1986-06-02,Christopher Riley
1986-06-03,Zachary Craig
1986-06-06,"Collin Thomas, Junichi"
1986-06-08,Angel Isaac
1986-06-10,Alberto Jose
1986-06-13,Jonathan Charles
1986-06-15,"Sean Edward, Trevor Patrick"
1986-06-18,"Caleb Martin, Steven R."
1986-06-24,Philip Joseph
1986-06-25,Robert Joseph
1986-06-26,"Louis Glenn, Michael Thomas"
1986-06-29,Thomas R.
1986-06-30,Christopher Michael
1986-07-01,Charles Cobb
1986-07-02,"Brett Aarion, Rene Michael"
1986-07-03,Raymond Thomas
1986-07-08,Jaime Omar
1986-07-11,Bryan Christopher
1986-07-12,Nicholas James
1986-07-23,Gary Andrew
1986-07-24,"Miguel A., Scott T."
1986-07-27,"Elih Christopher, Ryan Edward"
1986-07-28,Darin Cortland
1986-07-30,Scott Michael
1986-08-04,Alejandro Luis
1986-08-06,Jacob Daniel
1986-08-07,Jordan Cooper
1986-08-11,"Colby Ryan, Pablo Emilio"
1986-08-16,"Martin Benjamin, Sefat Farid Yu"
1986-08-18,"Andrew Raymond, Arnoldi Anthony, James Evan"
1986-08-19,Austin David
1986-08-21,Erik Kendall
1986-08-24,Nicholas James
1986-08-26,"Brett Alexander, Luis Alfredo, Xavier"
1986-08-27,Jordy Joe
1986-08-28,Thomas J.
1986-08-31,Juan Ramon
1986-09-01,Brian Michael
1986-09-02,Evan Shane
1986-09-03,Brandon Alan
1986-09-04,"Jordan James, Michael Christopher"
1986-09-08,Logan Edward
1986-09-09,Michael Matthew
1986-09-11,"Andrew Burton, Kyle Nathaniel"
1986-09-12,"Kyle Edward, Stevenson Nathaniel"
1986-09-16,James Gordon
1986-09-18,Michael Scott
1986-09-19,Anthony Russell
1986-09-20,Alejandro
1986-09-21,Zachary David
1986-09-22,Christopher Anthony
1986-09-23,"Christopher Kenneth, Miguel Alfredo"
1986-09-26,Sean Robert
1986-09-27,"Matthew David, Vincent Michael"
1986-09-28,Zachary Robert
1986-10-01,Aaron Andermon
1986-10-04,Stephen J.
1986-10-05,"Jeffrey Thomas, Tanner B."
1986-10-06,Edgmer Eduarado
1986-10-08,"Adron Lamar, Erik Randall"
1986-10-09,"Chaz Daniel, David Edward, Derek Lane"
1986-10-10,Andrew Stefan
1986-10-12,Trevor Daniel
1986-10-17,Daniel John
1986-10-19,Daniel William
1986-10-21,Chen-Chang
1986-10-22,"Christopher Patrick, Justin Michael"
1986-10-27,"Jonathon Joseph, Pedro"
1986-10-28,Joshua Michael
1986-10-30,Desmond Delane
1986-11-01,Rhiner Allen
1986-11-02,Taylor William Andrew
1986-11-03,William Alexander
1986-11-10,"Aaron James, Eric Allyn"
1986-11-13,"Bryan Cole, Joshua Lee, Juan Carlos, Wade A."
1986-11-17,Everth
1986-11-19,Michael Edward Brett
1986-11-20,Alexander
1986-11-22,Christopher Omar
1986-11-23,Brandon Roger
1986-11-24,Dean William
1986-12-05,Justin Kyle
1986-12-06,Ryan Christopher
1986-12-08,Jordan
1986-12-10,"Matthew Terry, Pedro Alexander"
1986-12-15,Nicholas Gregory
1986-12-16,"Alcides, Bryan Douglas"
1986-12-17,Joshua Wayne
1986-12-18,Vernon Christopher
1986-12-25,Waldis
1986-12-31,Nathan Samuel
1987-01-02,David J.
1987-01-07,"Brandon, Kyle Jordan"
1987-01-10,Ryan David
1987-01-12,Ivan Manuel
1987-01-14,John Logan
1987-01-16,Zelous Lamar
1987-01-17,"Jeffrey Ryan, Tanner Ross"
1987-01-19,James Thomas
1987-01-20,Luis
1987-01-21,"Brandon Michael, Chase Jonathan, Jacob Tanner, Joshua Michael, Roger Keith"
1987-01-23,Robert Cord
1987-01-26,"Hector, Jemile Nykiwa"
1987-01-28,Jose Marti
1987-01-29,"Alexander Thomas, Jose Dariel"
1987-01-30,"Luis Amado, Tyler Michael"
1987-01-31,"Caleb John, Melquisedec"
1987-02-01,"Austin Jarriel, Joseph Edward"
1987-02-05,Mark John
1987-02-06,"Pedro Manuel, Travis A."
1987-02-11,Brian Robert
1987-02-12,"Argenis Jose, David Fletcher"
1987-02-13,"Curtis, Henry Alexander, Ryan J., Ryan Keith"
1987-02-15,Robert Joseph
1987-02-16,Tomaso Anthony
1987-02-17,Daniel Andres
1987-02-19,William Joshua
1987-02-22,"Carlos Angel, Thomas Samuel"
1987-02-25,"Andrew Steven, Henry Alberto, Phillip Andrew"
1987-02-28,Aaron Marshall
1987-03-04,Daniel Adam
1987-03-07,Joel Fernando
1987-03-09,Daniel Claiborne
1987-03-10,Charles James
1987-03-14,Blaine Patrick
1987-03-21,Carlos Luis
1987-03-22,Isaac Benjamin
1987-03-24,"Joshua Alexander, Lucas Lester"
1987-03-25,"Hyun-jin, Kirby Kali"
1987-03-27,Gerald Dempsey
1987-03-28,Avery Bryan
1987-03-30,Shairon Martis
1987-03-31,Peter Christopher
1987-04-02,Bradley Edward
1987-04-03,"Jason Michael, Jay Allen"
1987-04-04,"Cameron Keith, Odrisamer"
1987-04-08,"Jeremy Robert, Yonder"
1987-04-09,Eric Singleton
1987-04-10,Ryan Louis
1987-04-17,Daniel Lee
1987-04-20,Ian Drew
1987-04-21,"Brenton Andre, Ryan Scott"
1987-04-22,Tyson William
1987-04-24,Welington Andres
1987-04-25,Daniel Richard
1987-05-01,Ivan
1987-05-06,Gerardo Enrique
1987-05-10,Brayan Rene
1987-05-11,John William
1987-05-12,Michael Lance
1987-05-13,William Douglas
1987-05-15,"David Lee, James Brian, Michael Charles"
1987-05-16,Tyler James
1987-05-22,Jaye Lawrence
1987-05-24,"Blake Aaron, Henry"
1987-06-05,Manuel Elias
1987-06-07,Sean Michael
1987-06-11,Ezequiel Manuel
1987-06-13,Justin Ryan
1987-06-15,"Eduardo Michelle, Jacob David, Joshua William"
1987-06-16,Arquimedes Euclides
1987-06-18,"Jack Burdett, Jason Michael, Taylor F."
1987-06-19,Collin Alexander
1987-06-24,"Juan Ramon, Samuel Douglas"
1987-06-29,Jerome Jeremy
1987-06-30,"Ryan William, Stephen Cole"
1987-07-03,"Joseph Casey, Steven Zachary McGuire"
1987-07-07,Yangervis Alfredo
1987-07-08,"Christian Louis Patrick, Joshua Isaiah, Mason Reed"
1987-07-10,"Gregory Alexander, Jermaine Antwann, Johnny Arthur"
1987-07-16,Eric Michael
1987-07-17,"Leonel Enrique, Nicholas John"
1987-07-18,Conor Michael
1987-07-19,Yan
1987-07-26,"Alex James, Vidal Vicente"
1987-07-27,Preston Blake
1987-08-02,Juan Jose
1987-08-04,"David Jose, Hiram Alexis"
1987-08-05,Timothy Joseph
1987-08-07,"Argelis Rafael, Kirk Robert, Ryan Cole"
1987-08-10,"Matthew G., Wilson Abraham"
1987-08-11,Drew Patrick
1987-08-13,James Allen
1987-08-14,Senger David
1987-08-15,Jorge Luis
1987-08-17,Thomas Joseph
1987-08-18,Justin James
1987-08-21,Julio Daniel
1987-08-23,William Zachary
1987-08-25,"Adam Parrish, Justin Irvin, Justis Logan"
1987-08-26,"Gregory Anthony, Ryan David"
1987-08-27,Brett
1987-08-31,Steven David
1987-09-01,"David Lee, Sean Daniel, Trayvon Andrew Dwayne"
1987-09-03,Domonic Larun
1987-09-05,Scott Michael
1987-09-07,"Gorkys Gustavo, Rusney"
1987-09-10,Paul Edward
1987-09-11,Brandon J.
1987-09-21,Jeremy Ross
1987-09-23,"Gonzalez German, Xavier Ladel"
1987-09-24,Jacob Dwayne
1987-09-25,"Lars Eric, Vance Richard"
1987-09-27,"David E., Grant Thomas"
1987-09-28,"Derrick Lamar, Gerald Robert, Nicholas"
1987-09-29,Roman Ali
1987-09-30,Kenley Geronimo
1987-10-01,Erik Jordan
1987-10-02,Rafael Manuel
1987-10-05,Marc S.
1987-10-07,Alexander Miller
1987-10-09,Cory Wade
1987-10-10,"Adrian, Elvin"
1987-10-14,Kole Alan
1987-10-19,John Stephen
1987-10-20,Edwar Alfonso
1987-10-21,Justin Andrew
1987-10-23,"Felix Antonio, Kyle Benjamin"
1987-10-27,Benjamin Michael
1987-10-31,Yamaico
1987-11-01,"Anthony Edward, Don Atley, Steven A."
1987-11-03,Kyle Duerr
1987-11-06,Cory Taylor
1987-11-08,Bryan Anthony
1987-11-11,Kyle Landon
1987-11-12,Michael Raymond
1987-11-16,Jordan Craig
1987-11-19,John Bryan
1987-11-20,Jeffrey Alan
1987-11-24,Christopher Ryan
1987-11-25,Nathan Alan
1987-11-30,Robert Chase
1987-12-03,Andrew Allen
1987-12-05,Allen Lorenz
1987-12-08,"Alexander Jesus, Kyle Jordan, Zachary Taylor"
1987-12-09,"Adam Robert, Mathew A., Pedro A."
1987-12-13,Aneury
1987-12-16,Hector Felipe
1987-12-17,Donovan
1987-12-18,"Rex Coleman, Rudy C."
1987-12-19,Aaron Christopher
1987-12-21,Khristopher Adrian
1987-12-22,"Stephen Chadwick, Zachary Grant"
1987-12-23,"Jordany V., Tyler Patrick"
1987-12-26,Michael David
1987-12-28,Shawn Michael
1988-01-01,Dallas
1988-01-02,"Aaron James, Eric Anthony"
1988-01-07,Jhoulys Jose
1988-01-08,Jonathan B.
1988-01-10,Rafael Jose
1988-01-12,Justin Michael
1988-01-18,Luis Domingo
1988-01-19,Shawn Mark
1988-01-21,Preston Michael
1988-01-22,Joshua Patrick William
1988-01-26,Joshua Cole
1988-01-28,Arthur Joseph
1988-01-29,"Hyun Choi, Michael P."
1988-02-01,Brett Franklin
1988-02-02,"Bradley J., Travis James"
1988-02-10,Jeanmar Alejandro
1988-02-11,Shane Aaron
1988-02-12,Joshua Aaron
1988-02-13,Ryan Matthew
1988-02-14,Paul Arthur
1988-02-16,Jorge Leonardo
1988-02-19,Kevin Allen
1988-02-20,Spencer Burdette
1988-02-21,Tyler William
1988-02-24,Christopher Matthew
1988-02-25,Nathan Masler
1988-02-26,"Dustin Michael, Hector Luis"
1988-02-28,Albertin Aroldis
1988-03-01,Trevor John
1988-03-05,"Hector Alexis, William Joseph"
1988-03-06,Leonys
1988-03-08,Thomas James
1988-03-10,Cedric Scott
1988-03-11,"Pedro Alberys, Vincent Michael"
1988-03-13,Jason Douglas
1988-03-14,Joshua Randall
1988-03-15,Steven C.
1988-03-19,Clayton Edward
1988-03-23,Dellin
1988-03-28,Ryan Michael
1988-04-01,Alexander Edward
1988-04-07,Charles Robert
1988-04-09,"Simon, Thomas Anthony"
1988-04-10,"Christopher L., Christopher Paul"
1988-04-11,"Christopher Ryan, Peter Michael"
1988-04-15,Christopher Steven
1988-04-20,Brandon Kyle
1988-04-22,Devaris
1988-04-30,Jesus Marcelo
1988-05-02,Neftali
1988-05-03,Ben Daniel
1988-05-04,Christian Stanford
1988-05-07,"Osvaldo, Samuel Isaac"
1988-05-09,Jeffrey Alan
1988-05-10,Ryan Christopher
1988-05-20,"Carlos Luis, Jorge Anthony"
1988-05-23,Victor Laurence
1988-05-27,"Bradley George, Garrett Thomas"
1988-05-28,"Craig Michael, Justin James, Lester Jesus"
1988-06-01,Francisco
1988-06-05,Jacob Steven
1988-06-09,"Joseph William, Zachary M."
1988-06-11,Brock Wyatt
1988-06-19,"Devin Douglas, Jacob Anthony"
1988-06-29,Brooks Lee
1988-06-30,"Blake M., Jeffrey Gilbert"
1988-07-02,Christopher
1988-07-05,Andre Albanez
1988-07-10,Ryan Gerard
1988-07-13,David John
1988-07-20,Stephen James
1988-07-27,Yoervis Jose
1988-08-01,Roenis
1988-08-02,Brett Elliott
1988-08-03,Patrick James
1988-08-11,Andrew Francis
1988-08-12,"Jake Austin, Jhan Carlos, Jose Nicolas"
1988-08-13,Brandon Carlin
1988-08-14,Alessandro
1988-08-16,"Juan Carlos, Justin Scott"
1988-08-23,Miles Tice
1988-08-26,"Elvis Augusto, Mario Eduardo Lemus"
1988-08-27,"Adam Joseph, Michael George"
1988-08-29,Alex Bruce
1988-08-31,"Caleb Charles, Matthew James"
1988-09-04,Adam Lynn
1988-09-08,"Alejandro, Chance Kraig"
1988-09-09,"Joseph T., William Scott"
1988-09-11,Michael Christopher
1988-09-13,Andrew Robert
1988-09-17,Casey W.
1988-09-20,Stephen Paul
1988-09-21,Che-Hsuan
1988-09-23,Jedd Lindon
1988-09-24,"Hunter Drew, James Steven, Moises"
1988-09-26,Christopher Alan
1988-09-28,"Cameron Arthur, Gary Allen"
1988-09-29,Tyler Michael
1988-10-03,"Michael John, Philip David"
1988-10-04,Lonnie David
1988-10-09,Starling Javier
1988-10-10,Jesus Fernando
1988-10-12,"Jose Antonio, Nicholas James"
1988-10-14,Michael Seth
1988-10-17,Stefen Daniel
1988-10-20,"August C., Michael Ryan"
1988-10-25,Alberto Antonio
1988-10-28,Corban Raymond
1988-10-29,Johnny David
1988-11-01,Masahiro
1988-11-02,Seth Daniel
1988-11-06,James Alston
1988-11-08,Yasmani
1988-11-09,Curtis Michael
1988-11-15,Benjamin Ramon
1988-11-16,Brandon Tyler
1988-11-17,Shane
1988-11-20,Cody Edward
1988-11-21,Matthew Robert O'Neil
1988-11-22,"Austin Allen, Thomas Andrew"
1988-11-24,Jarrod Brent
1988-11-25,Jimmy Santiago
1988-11-28,Kevin Robert
1988-12-01,Daniel Steven
1988-12-06,Adam Cory
1988-12-12,"Juan Habisail, Michael Joseph"
1988-12-15,Thomas Ryan
1988-12-20,Erik Van Norman
1988-12-21,Daniel Richard
1988-12-23,"Audris Joel, Roberto"
1988-12-27,"Addison Devon, Frederick Alfred"
1988-12-30,"Andrew James, Bryce Everett"
1988-12-31,Alexander Manuel
1989-01-04,Kevin Andrew
1989-01-05,Eduardo Jose
1989-01-07,Phillippe
1989-01-13,Richard Heath
1989-01-17,"Blake William, Dario Rafael, Taylor J."
1989-01-18,Michael Francisco
1989-01-23,Robert N.
1989-01-24,Jose Guillermo
1989-01-30,Keith Allen
1989-01-31,Thomas F.
1989-02-02,Logan Reece
1989-02-06,Donald Thomas
1989-02-09,Jacob M.
1989-02-10,"Liam Johnson, Travis E."
1989-02-11,Cesar Augusto
1989-02-14,Derek Russell
1989-02-16,"Eduardo Nazareth, John Walter"
1989-02-22,Chris M.
1989-02-23,Wilin Arismendy
1989-02-24,Miguel Elias
1989-02-28,Neftali O.
1989-03-04,Rubby Carlos
1989-03-05,Mauricio Antonio
1989-03-10,"Dayan, Tyler Andrew"
1989-03-12,David Taylor
1989-03-13,Sandy David
1989-03-14,Marwin Javier
1989-03-16,Michael Robert
1989-03-17,Juan Osvaldo
1989-03-20,Thomas David
1989-03-27,Matthew Edward
1989-03-30,Christopher
1989-03-31,"Alfredo, Josmil Oswaldo"
1989-04-01,Christopher Michael
1989-04-02,Robert Paul
1989-04-06,Alexi Jose
1989-04-08,Lendy Enrique
1989-04-10,Charles Edward
1989-04-11,Jose Luis
1989-04-12,Pedro Michel
1989-04-15,Adeiny
1989-04-21,Joshua Alan
1989-04-24,Steven Jeffrey
1989-04-26,Chad Robert
1989-04-30,Phil William
1989-05-01,Maikel Jose
1989-05-04,Nicholas Murphy
1989-05-06,Jose Ricardo
1989-05-08,Wily
1989-05-11,David Andrew
1989-05-12,Bradin Carl
1989-05-14,Christian Anthony
1989-05-22,"John Drake, McKenzie Corey"
1989-05-25,Neil Andrew
1989-06-05,James Jacob
1989-06-06,Ethan Cash
1989-06-08,Timothy J.
1989-06-10,Zoilo
1989-06-12,Dallas James
1989-06-13,Todd Andrew
1989-06-14,"Chase Coleman, Hector"
1989-06-18,Matthew Cody
1989-06-24,Robert Charles
1989-06-27,Abraham
1989-07-01,Brett R.
1989-07-05,Anthony Michael
1989-07-10,William Michael
1989-07-14,Robert Jacob
1989-07-18,Derek Richard
1989-07-19,"Luis Armando, Patrick A."
1989-07-20,"Kevin Ryan, Matthew"
1989-07-23,Stephen Michael
1989-07-29,Eric Spenser
1989-07-30,Jesse Allen
1989-08-01,Madison Kyle
1989-08-02,Onelki
1989-08-07,Thomas R.
1989-08-08,"Anthony Vincent, Greg Joseph"
1989-08-09,Jason Alias
1989-08-12,Kyle Eric
1989-08-18,Robert McDaniel
1989-08-21,"Ehire Enrique, Timothy Michael"
1989-08-27,Joshua Warren
1989-08-28,Matthew Scott
1989-08-29,Vincent Logan
1989-08-30,William John
1989-09-04,Andrelton A.
1989-09-05,"John Nicholas, Zachary Butler"
1989-09-09,Anthony R.
1989-09-11,Ezekiel Stephen
1989-09-12,Frederick Charles
1989-09-16,Robert Edward
1989-09-19,George Chelston
1989-09-20,Scott Andrew
1989-09-23,Trevor J.
1989-09-24,Jake T.
1989-09-29,Glenn Anthony
1989-09-30,Kyle James
1989-10-02,"Aaron Michael, Chad Dennis"
1989-10-04,Casey Patrick
1989-10-10,Jeurys
1989-10-11,Jenrry Manuel
1989-10-12,Francisco Antonio
1989-10-18,Bradley Austin
1989-10-19,Carson Donald
1989-10-24,Eric John
1989-10-26,Daniel Paul
1989-10-27,Ruben Dario
1989-11-01,Engel Manuel
1989-11-07,Sonny Douglas
1989-11-08,Giancarlo Cruz-Michael
1989-11-10,"Matthew W., Michael Blair"
1989-11-12,Adrian
1989-11-13,"Carlos David, Lane Weston"
1989-11-14,Freddy Jose
1989-11-16,Juan C.
1989-11-17,Hector Enrique
1989-11-19,Michael Harvey
1989-11-21,Jose Manuel
1989-11-28,Jesus Alejandro
1989-12-07,Kyle Christian
1989-12-13,Tyler Brock
1989-12-14,Donn Mitchell
1989-12-16,Tyler Cole
1989-12-26,Sean Patrick
1989-12-30,Erik Craig
1989-12-31,Kelvin De Jesus
1990-01-01,Xavier Tyrone
1990-01-05,"Christopher John, Jose Antonio"
1990-01-11,Daniel Dariel
1990-01-17,Frank Yeury
1990-01-18,Brett Russell
1990-01-21,"Jose Altagracia, Joseph Andrew"
1990-01-27,Timothy Lamar
1990-01-30,Charles Joseph
1990-02-01,Stolmy Ramon
1990-02-09,"Henry Alejandro, Randall Enrique"
1990-02-10,Carl Allen
1990-02-13,Nathan Edward
1990-02-15,Michael Thomas
1990-02-18,Mariekson Julius
1990-02-23,Jaff Kyle
1990-02-24,Eury
1990-02-27,Carlos Manuel
1990-03-01,Kyle Trent
1990-03-02,Wilking Jose
1990-03-05,Jerome O'Bryan
1990-03-11,Ryan
1990-03-15,Nicholas Mark
1990-03-17,Jean Carlos Enrique
1990-03-20,Bradley Richard
1990-03-22,"Andrew John, Brett Edward"
1990-03-24,Starlin DeJesus
1990-03-25,Barbaro Erisbel
1990-03-27,"Jacob Todd, Junior Osvaldo"
1990-04-12,"Burch Taylor, Edgar"
1990-04-18,"Anthony James, Evan Patrick, Henderson Javier"
1990-04-19,"Brian A., Jackie"
1990-04-22,Kevin James
1990-04-27,Aaron Lee
1990-05-01,Ryan Joseph
1990-05-02,Erasmo Jose
1990-05-06,Jose Carlos
1990-05-09,Jace Ryan
1990-05-10,Salvador Johan
1990-05-23,Cesar Augusto
1990-05-24,Wilmer
1990-05-25,Jarred Lynn
1990-05-28,Matthew Steven
1990-05-29,Trevor Jordan
1990-05-30,"Eury Eduardo, Zachary Harrison"
1990-06-06,"Anthony Michael, Tyler James"
1990-06-13,James Thomas
1990-06-17,"Andrew Gregory, Matthew D."
1990-06-18,Lisalverto
1990-06-30,"Cody James, Jesus Alexander"
1990-07-03,Brandon Eugene
1990-07-12,Chasen Dean
1990-07-13,Casey Scott
1990-07-19,Harry Jonathan
1990-07-25,Roman Junior
1990-08-01,Kennys
1990-08-05,Nicholas
1990-08-07,"Carter Lewis, Jose Alfredo"
1990-08-10,Anthony Robert
1990-08-13,Joseph
1990-08-18,Yimi
1990-08-21,Christian Rafael
1990-08-22,Andrew Scott
1990-08-26,Daniel
1990-08-27,Nicholas Paul
1990-08-29,Christopher Armand
1990-09-03,Shae Austin
1990-09-08,Gerrit Alan
1990-09-09,Billy R.
1990-09-17,Marcus Andrew
1990-09-20,Kenneth Robert
1990-10-08,Robert Joseph
1990-10-09,Jacob Ryan
1990-10-10,"Kolten Kaha, Shelby Charles"
1990-10-17,Rafael
1990-10-19,"Jordan Horton, Tyler Alexander"
1990-10-22,Drew Edward
1990-10-29,Ender David
1990-10-30,Joseph Matthew
1990-11-02,Melvin
